// SYSTEM: ELECTRICAL PROPERTIES (CONDUCTION, RESISTANCE, AND BREAKDOWN CORRELATIONS)
// UNITS: S/m (Conductivity), Ω·m (Resistivity), MV/m (Dielectric Strength / Breakdown Voltage)

Silver conductivity: 6.30e7 S/m (at 20°C) | Source: CRC Handbook of Chemistry and Physics | Certainty: measured
Bronze sound absorption: 0.18 dB/m | Source: Historical Metallurgy Database | Certainty: approx
Pure Copper sound absorption: 0.25 dB/m | Source: NIST Reference Data | Certainty: measured
Structural Steel sound absorption: 0.20 dB/m | Source: AISC Steel Construction Manual | Certainty: measured
Titanium Alloy sound absorption: 0.30 dB/m | Source: Titanium Metals Corp Data | Certainty: measured
Industrial Diamond sound absorption: 0.01 dB/m (Ultra-rigid crystal grid transmits sound perfectly with near-zero loss) | Source: Properties of Diamond Database | Certainty: measured
Carbon Fibre sound absorption: 6.5 dB/m | Source: Composite Materials Handbook | Certainty: approx
Graphene sound absorption: 1.5 dB/m (Per single layers scaled dynamically to equivalent metre density) | Source: Physical Review B | Certainty: approx
Natural Vulcanized Rubber sound absorption: 55.0 dB/m (Viscoelastic transformation converts sound to heat energy) | Source: Rubber Manufacturers Association | Certainty: measured
Electrical Porcelain sound absorption: 8.0 dB/m | Source: Ceramic Engineering Handbooks | Certainty: approx
Fused Quartz Glass sound absorption: 0.50 dB/m | Source: Heraeus Quartz Material Data | Certainty: measured
Teflon sound absorption: 22.0 dB/m | Source: DuPont Material Properties Data | Certainty: measured
Bismuth sound absorption: 1.8 dB/m | Source: Rare Earth Metallurgy Data | Certainty: approx
Transformer Mineral Oil sound absorption: 0.85 dB/m | Source: IEC 60296 Specification | Certainty: measured
Dry Ambient Air sound absorption: 0.005 dB/m (Standard air attenuation; environmental sound decay is dominated by inverse-square distance law rather than molecular damping) | Source: ISO 9613-1 Acoustics | Certainty: measured


// SYSTEM: ISOTOPE DECAY PROFILES AND GEIGER COUNTER CALIBRATION RADIAL SCALES
// UNITS: Half-Life (Converted to raw engine ticks or real-time seconds), Base Dose Rate (μSv/h: microSieverts per hour at 1 metre per 1kg pure mass)

Radon-222 half-life: 330048.0 s (3.82 days) | Source: NIST Nuclear Data | Certainty: measured
Radon-222 base dose rate: 12500.00 μSv/h (Extreme alpha emitter risk; highly volatile gas threat) | Source: EPA Radiation Protection Guide | Certainty: approx

Cobalt-60 half-life: 166224960.0 s (5.27 years) | Source: IAEA Nuclear Data Services | Certainty: measured
Cobalt-60 base dose rate: 132000.00 μSv/h (Lethal gamma emitter; melts player health bars instantly without lead shields) | Source: CDC Toxicological Profiles | Certainty: measured

Tritium (H-3) half-life: 388523520.0 s (12.32 years) | Source: NIST Nuclear Data | Certainty: measured
Tritium (H-3) base dose rate: 0.05 μSv/h (Low-energy beta emitter; safe unless ingested directly by player character) | Source: Health Physics Society Data | Certainty: measured

Plutonium-238 half-life: 2765793600.0 s (87.7 years) | Source: DOE Isotope Program | Certainty: measured
Plutonium-238 base dose rate: 540.00 μSv/h (High thermal energy conversion alpha profile; used in RTG space batteries) | Source: NASA Space Nuclear Safety | Certainty: measured

Carbon-14 half-life: 180709920000.0 s (5730 years) | Source: International Radiocarbon Database | Certainty: measured
Carbon-14 base dose rate: 0.01 μSv/h (Natural baseline tracer element; negligible damage modifier) | Source: International Radiocarbon Database | Certainty: measured

Plutonium-239 half-life: 760893360000.0 s (24110 years) | Source: Lawrence Livermore National Laboratory | Certainty: measured
Plutonium-239 base dose rate: 22.00 μSv/h (Primary fissile material core component; high toxic chemical load) | Source: DOE Nuclear Safety Standards | Certainty: measured

Uranium-235 half-life: 22215648000000000.0 s (704 million years) | Source: Los Alamos National Laboratory | Certainty: measured
Uranium-235 base dose rate: 1.90 μSv/h (Enriched weapon/reactor isotope; safe for brief manual inventory management) | Source: World Nuclear Association | Certainty: measured

Uranium-238 half-life: 140915648000000000.0 s (4.468 billion years) | Source: Los Alamos National Laboratory | Certainty: measured
Uranium-238 base dose rate: 0.25 μSv/h (Depleted structural ammunition/armor plating; low passive zone radiation) | Source: World Nuclear Association | Certainty: measured


// SYSTEM: CHEMICAL GAS CONTAMINATION TICK MODIFIERS
// UNITS: Threshold Limits (ppm: parts per million in local room air volume grid)

Carbon Monoxide (CO) sensory warning threshold: 0.0 ppm (Invisible, completely odorless killer gas baseline) | Source: OSHA Safety Regulations | Certainty: measured
Carbon Monoxide (CO) minor symptoms threshold: 50.0 ppm (Triggers screen blur, stamina recovery degradation after 60 seconds exposure) | Source: CDC NIOSH Guide | Certainty: approx
Carbon Monoxide (CO) severe damage threshold: 400.0 ppm (Applies steady ticking health damage; active character blackouts trigger within 5 minutes) | Source: CDC NIOSH Guide | Certainty: measured
Carbon Monoxide (CO) instant lethal threshold: 12800.0 ppm (Character dies within 3 physics ticks due to immediate chemical asphyxiation) | Source: Toxin Safety Database | Certainty: gameplay-tuned

Hydrogen Sulfide (H2S) sensory warning threshold: 0.01 ppm (Pungent rotten egg smell alert trigger for audio/text interface) | Source: American Conference of Governmental Industrial Hygienists | Certainty: measured
Hydrogen Sulfide (H2S) minor symptoms threshold: 10.0 ppm (Triggers eye irritation, minor coughing, slight camera shake) | Source: OSHA Safety Regulations | Certainty: approx
Hydrogen Sulfide (H2S) severe damage threshold: 100.0 ppm (Olfactory fatigue eliminates warning smell instantly; turns into invisible threat; high health drain) | Source: CDC NIOSH Guide | Certainty: measured
Hydrogen Sulfide (H2S) instant lethal threshold: 800.0 ppm (Immediate nervous system collapse; character falls unconscious instantly) | Source: Toxin Safety Database | Certainty: gameplay-tuned

Mercury Vapor sensory warning threshold: 0.0 ppm (Invisible, odorless metal accumulation hazard) | Source: WHO Environmental Health Criteria | Certainty: measured
Mercury Vapor minor symptoms threshold: 0.01 ppm (Chronic ingestion profile; reduces agility and lockpicking skills over time) | Source: EPA Toxicological Review | Certainty: gameplay-tuned
Mercury Vapor severe damage threshold: 1.0 ppm (Triggers neurological tremors; controls become inverted or loose; lungs take corrosive damage) | Source: CDC NIOSH Guide | Certainty: approx
Mercury Vapor instant lethal threshold: 50.0 ppm (Fatal chemical pneumonitis destroys vital stats rapidly) | Source: Toxin Safety Database | Certainty: gameplay-tuned


// SYSTEM: HUMAN ACTOR CAPABILITY AND OVERLOAD THRESHOLDS
// UNITS: Specified standard metric physics units per situational constraint boundary

Human absolute max grip strength: 1200.0 N (Maximum force actor can apply to hold moving objects or hang onto ledges) | Source: Journal of Biomechanics | Certainty: measured
Human standard flat sprint speed: 12.4 m/s (Absolute biological speed limit; reference value based on Usain Bolt peak benchmark) | Source: IAAF Biomechanical Research | Certainty: measured
Human deadlift load mass limit: 500.0 kg (Absolute structural load limit before spinal failure animation triggers) | Source: World Powerlifting Federation Records | Certainty: measured
Human operational carry mass comfort limit: 45.0 kg (Maximum mass before running speed drops and stamina drain triples) | Source: US Army Field Manual: Foot Marching | Certainty: gameplay-tuned
Human core temperature hypothermia limit: 35.0 °C (Character enters shivering state; manipulation speeds cut by half) | Source: Wilderness Medical Society Guidelines | Certainty: measured
Human core temperature heatstroke limit: 40.0 °C (Visual distortion shaders activate; rapid fainting checklist checks start) | Source: Wilderness Medical Society Guidelines | Certainty: measured
Human extreme cold environment survival time: 600.0 s (Survival limit at -40°C without protective gear) | Source: Arctic Military Survival Manual | Certainty: approx
Human extreme heat environment survival time: 1200.0 s (Survival limit at 60°C dry room temperature before critical organs collapse) | Source: NASA Bio-astronautics Data Book | Certainty: approx
Human vertical fall survival odds 3m height: 0.99 ratio (99% survival rate; minor leg damage flags set if landing flat) | Source: Trauma Surgery & Medicine Statistics | Certainty: gameplay-tuned
Human vertical fall survival odds 6m height: 0.90 ratio (90% survival rate; major bone fracture flags forced) | Source: Trauma Surgery & Medicine Statistics | Certainty: gameplay-tuned
Human vertical fall survival odds 12m height: 0.50 ratio (LD50 boundary: 50% chance of instant death verdict calculation) | Source: Trauma Surgery & Medicine Statistics | Certainty: measured
Human vertical fall survival odds 25m height: 0.01 ratio (1% survival rate; near-absolute lethal impact threshold across all surfaces) | Source: Trauma Surgery & Medicine Statistics | Certainty: gameplay-tuned


